Account,Project,Job,Translation Resource,Agency,Target Language,Workflow Step,Fuzzy Profile,Fuzzy Breakdown,Word Count,Weighted Words
TaskRabbit,TaskRabbit - API Sandbox,Test Thiago,Thiago Baraldi,,English (United Kingdom),Translation,Default,0 - 84.9%,1,1
TaskRabbit,TaskRabbit - API Sandbox,Test Thiago,Thiago Baraldi,,English (United Kingdom),Translation,Default,85 - 94.9%,0,0
TaskRabbit,TaskRabbit - API Sandbox,Test Thiago,Thiago Baraldi,,English (United Kingdom),Translation,Default,95 - 99.9%,0,0
TaskRabbit,TaskRabbit - API Sandbox,Test Thiago,Thiago Baraldi,,English (United Kingdom),Translation,Default,100%,0,0
TaskRabbit,TaskRabbit - Glossary Translations,Glossary 2018-12-03 (1),M D,,French (France),Translation,Default,0 - 84.9%,6,6
TaskRabbit,TaskRabbit - Glossary Translations,Glossary 2018-12-03 (1),M D,,French (France),Translation,Default,85 - 94.9%,0,0
TaskRabbit,TaskRabbit - Glossary Translations,Glossary 2018-12-03 (1),M D,,French (France),Translation,Default,95 - 99.9%,0,0
TaskRabbit,TaskRabbit - Glossary Translations,Glossary 2018-12-03 (1),M D,,French (France),Translation,Default,100%,0,0
TaskRabbit,TaskRabbit - Glossary Translations,Glossary 2018-12-03 (1),Marie-Hélène Perrin-Frégis,,French (France),Edit,,,6,6
TaskRabbit,TaskRabbit - IKEA Content,fr_FR_Ikea_Script,Florian Vende,,French (France),Translation,Default,0 - 84.9%,514,514
TaskRabbit,TaskRabbit - IKEA Content,fr_FR_Ikea_Script,Florian Vende,,French (France),Translation,Default,85 - 94.9%,0,0
TaskRabbit,TaskRabbit - IKEA Content,fr_FR_Ikea_Script,Florian Vende,,French (France),Translation,Default,95 - 99.9%,0,0
TaskRabbit,TaskRabbit - IKEA Content,fr_FR_Ikea_Script,Florian Vende,,French (France),Translation,Default,100%,0,0
TaskRabbit,TaskRabbit - IKEA Content,190417_IKEA Content_IKEA Booking Flow CSVs _FVende,Florian Vende,,French (France),Translation,Default,0 - 84.9%,813,813
TaskRabbit,TaskRabbit - IKEA Content,190417_IKEA Content_IKEA Booking Flow CSVs _FVende,Florian Vende,,French (France),Translation,Default,85 - 94.9%,153,92
TaskRabbit,TaskRabbit - IKEA Content,190417_IKEA Content_IKEA Booking Flow CSVs _FVende,Florian Vende,,French (France),Translation,Default,95 - 99.9%,58,18
TaskRabbit,TaskRabbit - IKEA Content,190417_IKEA Content_IKEA Booking Flow CSVs _FVende,Florian Vende,,French (France),Translation,Default,100%,674,68
TaskRabbit,TaskRabbit - Legal ,190408_Legal_SC - 206 - (FR) Micro-Entrepreneur License_MMashhadi,Florian Vende,,French (France),Translation,Default,0 - 84.9%,391,391
TaskRabbit,TaskRabbit - Legal ,190408_Legal_SC - 206 - (FR) Micro-Entrepreneur License_MMashhadi,Florian Vende,,French (France),Translation,Default,85 - 94.9%,0,0
TaskRabbit,TaskRabbit - Legal ,190408_Legal_SC - 206 - (FR) Micro-Entrepreneur License_MMashhadi,Florian Vende,,French (France),Translation,Default,95 - 99.9%,0,0
TaskRabbit,TaskRabbit - Legal ,190408_Legal_SC - 206 - (FR) Micro-Entrepreneur License_MMashhadi,Florian Vende,,French (France),Translation,Default,100%,0,0
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_ToS_Marjan,Florian Vende,,French (France),Review,,,18313,18313
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_How_Platform_Works_HeidiAllstop,Florian Vende,,French (France),Review,,,632,632
TaskRabbit,TaskRabbit - Legal ,190412_Legal_TOS_Invoicing Mandate_Fvende,Florian Vende,,French (France),Translation,Default,0 - 84.9%,551,551
TaskRabbit,TaskRabbit - Legal ,190412_Legal_TOS_Invoicing Mandate_Fvende,Florian Vende,,French (France),Translation,Default,85 - 94.9%,0,0
TaskRabbit,TaskRabbit - Legal ,190412_Legal_TOS_Invoicing Mandate_Fvende,Florian Vende,,French (France),Translation,Default,95 - 99.9%,0,0
TaskRabbit,TaskRabbit - Legal ,190412_Legal_TOS_Invoicing Mandate_Fvende,Florian Vende,,French (France),Translation,Default,100%,0,0
TaskRabbit,TaskRabbit - Legal ,20190408_Legal_Urgent_Trademark_Guidelines_Marjan,Florian Vende,,French (France),Review,,,515,515
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_Privacy_Policy_Marjan,Florian Vende,,French (France),Review,,,7472,7472
TaskRabbit,TaskRabbit - Legal ,190409_Legal_Happiness Pledge (France) for translation_FVende,Thiago Baraldi,,French (France),Review,,,1953,1953
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_ToS_Marjan,Alpha Review,Alpha CRC - TaskRabbit,French (France),Edit,,,18313,18313
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_How_Platform_Works_HeidiAllstop,Alpha Review,Alpha CRC - TaskRabbit,French (France),Edit,,,632,632
TaskRabbit,TaskRabbit - Legal ,20190429_Legal_TaskerReferralProgramT&C_MBeier,Alpha Review,Alpha CRC - TaskRabbit,French (France),Edit,,,1360,1360
TaskRabbit,TaskRabbit - Legal ,20190408_Legal_Urgent_Trademark_Guidelines_Marjan,Alpha Review,Alpha CRC - TaskRabbit,French (France),Edit,,,515,515
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_Privacy_Policy_Marjan,Alpha Review,Alpha CRC - TaskRabbit,French (France),Edit,,,7472,7472
TaskRabbit,TaskRabbit - Legal ,190409_Legal_Happiness Pledge (France) for translation_FVende,Alpha Review,Alpha CRC - TaskRabbit,French (France),Edit,,,1953,1953
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_ToS_Marjan,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,0 - 84.9%,15172,15172
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_ToS_Marjan,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,85 - 94.9%,440,264
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_ToS_Marjan,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,95 - 99.9%,72,22
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_ToS_Marjan,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,100%,296,30
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_How_Platform_Works_HeidiAllstop,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,0 - 84.9%,629,629
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_How_Platform_Works_HeidiAllstop,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,85 - 94.9%,0,0
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_How_Platform_Works_HeidiAllstop,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,95 - 99.9%,0,0
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_How_Platform_Works_HeidiAllstop,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,100%,3,1
TaskRabbit,TaskRabbit - Legal ,20190429_Legal_TaskerReferralProgramT&C_MBeier,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,0 - 84.9%,346,346
TaskRabbit,TaskRabbit - Legal ,20190429_Legal_TaskerReferralProgramT&C_MBeier,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,85 - 94.9%,68,41
TaskRabbit,TaskRabbit - Legal ,20190429_Legal_TaskerReferralProgramT&C_MBeier,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,95 - 99.9%,938,282
TaskRabbit,TaskRabbit - Legal ,20190429_Legal_TaskerReferralProgramT&C_MBeier,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,100%,8,1
TaskRabbit,TaskRabbit - Legal ,20190408_Legal_Urgent_Trademark_Guidelines_Marjan,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,0 - 84.9%,30,30
TaskRabbit,TaskRabbit - Legal ,20190408_Legal_Urgent_Trademark_Guidelines_Marjan,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,85 - 94.9%,45,27
TaskRabbit,TaskRabbit - Legal ,20190408_Legal_Urgent_Trademark_Guidelines_Marjan,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,95 - 99.9%,133,40
TaskRabbit,TaskRabbit - Legal ,20190408_Legal_Urgent_Trademark_Guidelines_Marjan,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,100%,307,31
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_Privacy_Policy_Marjan,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,0 - 84.9%,7141,7141
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_Privacy_Policy_Marjan,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,85 - 94.9%,75,45
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_Privacy_Policy_Marjan,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,95 - 99.9%,142,43
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_Privacy_Policy_Marjan,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,100%,114,12
TaskRabbit,TaskRabbit - Legal ,190409_Legal_Happiness Pledge (France) for translation_FVende,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,0 - 84.9%,1948,1948
TaskRabbit,TaskRabbit - Legal ,190409_Legal_Happiness Pledge (France) for translation_FVende,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,85 - 94.9%,0,0
TaskRabbit,TaskRabbit - Legal ,190409_Legal_Happiness Pledge (France) for translation_FVende,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,95 - 99.9%,5,2
TaskRabbit,TaskRabbit - Legal ,190409_Legal_Happiness Pledge (France) for translation_FVende,Alpha Translations,Alpha CRC - TaskRabbit,French (France),Translation,Default,100%,0,0
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_ToS_Marjan,Marie Claire Boisset,Alpha CRC - TaskRabbit,French (France),Translation,Default,0 - 84.9%,2255,2255
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_ToS_Marjan,Marie Claire Boisset,Alpha CRC - TaskRabbit,French (France),Translation,Default,85 - 94.9%,0,0
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_ToS_Marjan,Marie Claire Boisset,Alpha CRC - TaskRabbit,French (France),Translation,Default,95 - 99.9%,0,0
TaskRabbit,TaskRabbit - Legal ,20190405_Legal_Urgent_ToS_Marjan,Marie Claire Boisset,Alpha CRC - TaskRabbit,French (France),Translation,Default,100%,78,8
TaskRabbit,TaskRabbit - Marketing Documents,190402_Mktng_Task_Templates__Tasker_Launch_CKu,Florian Vende,,French (France),Review,,,2289,2289
TaskRabbit,TaskRabbit - Marketing Documents,190509_Marketing_TaskRabbit_Email_Welcome2A_Mel,Florian Vende,,French (France),Translation,Default,0 - 84.9%,151,151
TaskRabbit,TaskRabbit - Marketing Documents,190509_Marketing_TaskRabbit_Email_Welcome2A_Mel,Florian Vende,,French (France),Translation,Default,85 - 94.9%,0,0
TaskRabbit,TaskRabbit - Marketing Documents,190509_Marketing_TaskRabbit_Email_Welcome2A_Mel,Florian Vende,,French (France),Translation,Default,95 - 99.9%,0,0
TaskRabbit,TaskRabbit - Marketing Documents,190509_Marketing_TaskRabbit_Email_Welcome2A_Mel,Florian Vende,,French (France),Translation,Default,100%,0,0
TaskRabbit,TaskRabbit - Marketing Documents,190524_Marketing_AppStorecopy_CKu,Florian Vende,,French (France),Translation,Default,0 - 84.9%,190,190
TaskRabbit,TaskRabbit - Marketing Documents,190524_Marketing_AppStorecopy_CKu,Florian Vende,,French (France),Translation,Default,85 - 94.9%,0,0
TaskRabbit,TaskRabbit - Marketing Documents,190524_Marketing_AppStorecopy_CKu,Florian Vende,,French (France),Translation,Default,95 - 99.9%,0,0
TaskRabbit,TaskRabbit - Marketing Documents,190524_Marketing_AppStorecopy_CKu,Florian Vende,,French (France),Translation,Default,100%,0,0
TaskRabbit,TaskRabbit - Marketing Documents,190329_Marketing_Task_Templates_Cku,Florian Vende,,French (France),Review,,,11422,11422
TaskRabbit,TaskRabbit - Marketing Documents,190329_Marketing_Group Translations_Cku,Florian Vende,,French (France),Review,,,3120,3120
TaskRabbit,TaskRabbit - Marketing Documents,190415_Marketing_TaskRabbit_Email_Welcome1-3_Mel,Florian Vende,,French (France),Translation,Default,0 - 84.9%,188,188
TaskRabbit,TaskRabbit - Marketing Documents,190415_Marketing_TaskRabbit_Email_Welcome1-3_Mel,Florian Vende,,French (France),Translation,Default,85 - 94.9%,8,5
TaskRabbit,TaskRabbit - Marketing Documents,190415_Marketing_TaskRabbit_Email_Welcome1-3_Mel,Florian Vende,,French (France),Translation,Default,95 - 99.9%,125,38
TaskRabbit,TaskRabbit - Marketing Documents,190415_Marketing_TaskRabbit_Email_Welcome1-3_Mel,Florian Vende,,French (France),Translation,Default,100%,0,0
TaskRabbit,TaskRabbit - Marketing Documents,TaskRabbit Logo Guidelines,M D,,French (France),Translation,Default,0 - 84.9%,555,555
TaskRabbit,TaskRabbit - Marketing Documents,TaskRabbit Logo Guidelines,M D,,French (France),Translation,Default,85 - 94.9%,0,0
TaskRabbit,TaskRabbit - Marketing Documents,TaskRabbit Logo Guidelines,M D,,French (France),Translation,Default,95 - 99.9%,0,0
TaskRabbit,TaskRabbit - Marketing Documents,TaskRabbit Logo Guidelines,M D,,French (France),Translation,Default,100%,0,0
TaskRabbit,TaskRabbit - Marketing Documents,TaskRabbit Logo Guidelines,Marie-Hélène Perrin-Frégis,,French (France),Edit,,,555,555
TaskRabbit,TaskRabbit - Marketing Documents,TestThiago2 (Cancelled 2019/02/19 10:58:21),Thiago Baraldi,,French (France),Translation,Default,0 - 84.9%,2,2
